date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:35:12	145256/145256	---MCZ	200	added ('OK')	text/html	etag:W/%22092191cf36709618061813ff6f0f758d%22	https://themeforest.net/item/docs-documentation-and-manual-html5-responsive-template/24951074?fbclid=IwAR2bWI00l38D6BrUiYsxqZDN9pQJW4ossOGqOaKrQ9-q78MFL9ScNBt2p7A	C:/My%20Web%20Sites/document/themeforest.net/item/docs-documentation-and-manual-html5-responsive-template/24951074ca29.html	(from )
15:35:12	340/340	---MCZ	200	added ('OK')	text/plain	etag:W/%2263c0eb58-336%22	https://themeforest.net/robots.txt		(from )
15:35:12	111517/111517	---MCZ	200	added ('OK')	application/javascript	etag:W/%227baa082d66863a0e986693c24be770ad%22	https://public-assets.envato-static.com/assets/market/core/datadog-31cd5e61112f0c7c2f9671350fee5cfc4de6155c4c2ed01c6690fdae62d2c099.js	C:/My%20Web%20Sites/document/public-assets.envato-static.com/assets/market/core/datadog-31cd5e61112f0c7c2f9671350fee5cfc4de6155c4c2ed01c6690fdae62d2c099.js	(from https://themeforest.net/item/docs-documentation-and-manual-html5-responsive-template/24951074?fbclid=IwAR2bWI00l38D6BrUiYsxqZDN9pQJW4ossOGqOaKrQ9-q78MFL9ScNBt2p7A)
15:35:13	78173/78173	---MCZ	200	added ('OK')	application/javascript	etag:W/%22fd842aae5dcd629d28ea45f5cca60c5d%22	https://public-assets.envato-static.com/assets/market/core/rollbar-a86e443338a6e0f95d27d14cc8449828a6d2579281d3dc368a02c07743ab099c.js	C:/My%20Web%20Sites/document/public-assets.envato-static.com/assets/market/core/rollbar-a86e443338a6e0f95d27d14cc8449828a6d2579281d3dc368a02c07743ab099c.js	(from https://themeforest.net/item/docs-documentation-and-manual-html5-responsive-template/24951074?fbclid=IwAR2bWI00l38D6BrUiYsxqZDN9pQJW4ossOGqOaKrQ9-q78MFL9ScNBt2p7A)
15:35:14	17927/17927	---M--	200	added ('OK')	image/jpeg	date:Sun,%2015%20Jan%202023%2009:35:14%20GMT	https://themeforest.img.customer.envatousercontent.com/files/285600326/01_preview.__large_preview.png?auto=compress%2Cformat&q=80&fit=crop&crop=top&max-h=8000&max-w=590&s=d4e932ecd5923779606d853a3bbf8b85	C:/My%20Web%20Sites/document/themeforest.img.customer.envatousercontent.com/files/285600326/01_preview.__large_previewafc9.jpg	(from https://themeforest.net/item/docs-documentation-and-manual-html5-responsive-template/24951074?fbclid=IwAR2bWI00l38D6BrUiYsxqZDN9pQJW4ossOGqOaKrQ9-q78MFL9ScNBt2p7A)
15:35:14	56337/56337	---M--	200	added ('OK')	image/png	etag:%22616011db88935edc6a2fef5c746a08c5%22	https://public-assets.envato-static.com/assets/generated_sprites/logos-6f8a015ab6d9602102f6c4dde38bf1a128f2647f20b76023c4793c2d3d86e57c.png	C:/My%20Web%20Sites/document/public-assets.envato-static.com/assets/generated_sprites/logos-6f8a015ab6d9602102f6c4dde38bf1a128f2647f20b76023c4793c2d3d86e57c.png	(from https://themeforest.net/item/docs-documentation-and-manual-html5-responsive-template/24951074?fbclid=IwAR2bWI00l38D6BrUiYsxqZDN9pQJW4ossOGqOaKrQ9-q78MFL9ScNBt2p7A)
15:35:14	9797/9797	---M--	200	added ('OK')	image/png	etag:%2264089c65cdcb56ecdfdcccb445fb844c%22	https://public-assets.envato-static.com/assets/generated_sprites/common-14f8bc60470b39265fe5c01e92035209bd04b91cd7da99d59ca3ccd9de5eac62.png	C:/My%20Web%20Sites/document/public-assets.envato-static.com/assets/generated_sprites/common-14f8bc60470b39265fe5c01e92035209bd04b91cd7da99d59ca3ccd9de5eac62.png	(from https://themeforest.net/item/docs-documentation-and-manual-html5-responsive-template/24951074?fbclid=IwAR2bWI00l38D6BrUiYsxqZDN9pQJW4ossOGqOaKrQ9-q78MFL9ScNBt2p7A)
15:35:14	3056/3056	---M--	200	added ('OK')	image/png	etag:%223305876b2f17da6c9a0d8c1bb60b62db%22	https://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-72x72-precomposed.png	C:/My%20Web%20Sites/document/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-72x72-precomposed.png	(from https://themeforest.net/item/docs-documentation-and-manual-html5-responsive-template/24951074?fbclid=IwAR2bWI00l38D6BrUiYsxqZDN9pQJW4ossOGqOaKrQ9-q78MFL9ScNBt2p7A)
15:35:14	6700/6700	---M--	200	added ('OK')	image/png	etag:%2271bb96fca73f4ae046c5e4860cb86af5%22	https://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-114x114-precomposed.png	C:/My%20Web%20Sites/document/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-114x114-precomposed.png	(from https://themeforest.net/item/docs-documentation-and-manual-html5-responsive-template/24951074?fbclid=IwAR2bWI00l38D6BrUiYsxqZDN9pQJW4ossOGqOaKrQ9-q78MFL9ScNBt2p7A)
15:35:14	9251/9251	---M--	200	added ('OK')	image/png	etag:%22571b0585baccf30bde09cb6e5aad849f%22	https://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-144x144-precomposed.png	C:/My%20Web%20Sites/document/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-144x144-precomposed.png	(from https://themeforest.net/item/docs-documentation-and-manual-html5-responsive-template/24951074?fbclid=IwAR2bWI00l38D6BrUiYsxqZDN9pQJW4ossOGqOaKrQ9-q78MFL9ScNBt2p7A)
